timestamp;yaw;pitch;roll
94392;345.29;2.33;-3.21
94444;346.89;1.07;-2.36
94492;350.74;-0.59;-2.07
94823;284.81;-16.64;-8.70
94871;270.79;-15.48;-8.36
94923;251.44;-14.57;-7.77
94971;238.98;-13.44;-8.55
95021;221.57;-14.03;-5.53
95073;214.48;-20.15;-5.68
95121;221.94;-19.06;-4.79
95173;242.20;-16.94;-6.13
95221;245.75;-15.21;-7.41
95275;246.34;-14.10;-7.43
95321;246.24;-13.07;-7.84
95373;245.91;-11.79;-8.47
95421;245.59;-11.16;-8.61
95473;245.33;-10.83;-8.25
95521;245.40;-10.40;-8.17
95573;245.91;-9.78;-8.21
95621;246.74;-9.74;-8.22
95673;249.80;-9.61;-8.86
95721;255.08;-8.59;-9.81
95776;270.62;-7.33;-11.26
95821;289.65;-6.62;-9.36
95873;313.13;-0.92;-12.23
95921;307.56;-3.90;-12.10
95971;298.50;-7.04;-12.66
96023;282.28;-9.55;-11.95
96071;268.68;-9.77;-11.45
96123;250.31;-10.15;-11.33
96171;237.12;-9.79;-13.71
96223;216.47;-9.19;-15.68
96274;209.08;-11.74;-13.73
96321;216.72;-10.81;-15.36
96373;229.89;-1.12;-21.43
96421;238.60;0.53;-14.69
96473;240.67;-1.11;-13.08
96521;240.78;-1.55;-12.35
96573;240.62;-1.21;-12.05
96621;240.62;-1.10;-11.51
96673;240.65;-0.94;-10.81
96721;240.80;-0.88;-10.15
96775;241.28;-0.81;-9.22
96821;242.09;-1.28;-8.27
96873;244.74;-2.66;-6.69
96921;250.95;-2.68;-6.46
96973;267.21;-0.82;-6.04
97021;287.69;-1.38;-0.50
97073;305.97;1.99;-3.43
97121;298.73;0.58;-1.07
97173;284.10;-0.71;-4.31
97221;270.77;-1.20;-6.02
97275;250.94;-1.57;-7.36
97321;236.72;-3.64;-9.69
97373;220.37;-4.09;-14.69
97421;205.77;-5.97;-13.90
97473;203.09;-8.44;-16.04
97521;210.02;-8.58;-15.86
97573;226.78;-2.13;-15.43
97621;231.12;-1.43;-12.67
97673;231.45;-1.18;-11.86
